>>> AN-SKASBIL-211 [RYBNIK];;;;;(c) PZI 'TARAN' Mielec  www.taran.com.pl **;;18.11.2021;18:36;;#1;
;;;;;;;;;;;;;

Skasowania i sprzeda¿ biletów w pojazdach (iloœæ) w okresie13-09-2021 - 17-09-2021;;;;;;;;;;;;;
Kursy : Szczegó³owy;;;;;;;;;;;;;;;
Filtr :   - Kursówki : Wszystkie  - Kursy : Wszystkie;;;;;;;;;;;;;;;
   Kursówka: 01   Linia:  6   Wariant: D - Plac Wolnoœci-Marcel   Kurs:  04:55;;;;;;;
Przystanek;;Skasowañ elektronicznych;;Sprzedanychu kierowcy;;Razem;
;;Portmonetka;Terminowe;;;;
19 ; Radlin Korfantego Centrum;2 ;2 ;2 ;;6 ;
20 ; Radlin KorfantegoMakuszyñskiego; ; ; ;; ;
21 ; Radlin Korfantego KWKMarcel; ; ; ;; ;
22 ; Radlin Ujejskiego; ; ; ;; ;
 Razem: ;;64 ;31 ;13 ;;108 ;

   Kursówka: 01   Linia:  6   Wariant: B - Marcel-DA   Kurs:  11:24;;;;;;;
Przystanek;;Skasowañ elektronicznych;;Sprzedanychu kierowcy;;Razem;
;;Portmonetka;Terminowe;;;;
1 ; Radlin Ujejskiego; ; ; ;; ;
2 ; Radlin Korfantego KWKMarcel;2 ;1 ; ;;3 ;
3 ; Radlin KorfantegoMakuszyñskiego;1 ;1 ;2 ;;4 ;
4 ; Radlin Korfantego Centrum;4 ;6 ; ;;10 ;
5 ; Radlin Rogozina; ; ;1 ;;1 ;
6 ; R-k Niedobczyce Wrêbowa;5 ;5 ; ;;10 ;
7 ; R-k Niedobczyce Orlik;7 ;5 ; ;;12 ;
8 ; R-k Niedobczyce Stadion;3 ;2 ; ;;5 ;
9 ; R-k Niedobczyce KopalniaRymer;3 ;5 ; ;;8 ;
10 ; R-k Popielów Worcella; ;1 ;1 ;;2 ;
11 ; R-k Popielów Skrzy¿owanie;2 ;3 ; ;;5 ;
12 ; R-k Popielów ¯abik;8 ; ; ;;8 ;
13 ; R-k Niedobczyce Pary¿;9 ;4 ; ;;13 ;
14 ; R-k Zamys³ów Wodzis³awska;1 ; ; ;;1 ;
15 ; R-k Smolna Osiedle;6 ;2 ; ;;8 ;
16 ; R-k Smolna Franciszkanie; ; ;1 ;;1 ;
17 ; R-k Œródmieœcie S¹d; ; ; ;; ;
18 ; R-k Œródmieœcie DworzecKolejowy; ;1 ; ;;1 ;
19 ; R-k Œródmieœcie Chrobrego; ; ;1 ;;1 ;
20 ; R-k Œródmieœcie PlacWolnoœci 1;1 ;2 ; ;;3 ;
21 ; R-k Pó³noc Rondo Gliwickie;1 ; ;1 ;;2 ;
>>> AN-SKASBIL-211 [RYBNIK];;;;;(c) PZI 'TARAN' Mielec  www.taran.com.pl **;;18.11.2021;18:36;;#4;
;;;;;;;;;;;;;

Skasowania i sprzeda¿ biletów w pojazdach (iloœæ) w okresie13-09-2021 - 17-09-2021;;;;;;;;;;;;;
Kursy : Szczegó³owy;;;;;;;;;;;;;;;
Filtr :   - Kursówki : Wszystkie  - Kursy : Wszystkie;;;;;;;;;;;;;;;
22 ; R-k Pó³noc Rudzka Cmentarz; ; ; ;; ;
23 ; R-k Pó³noc Wawok; ; ; ;; ;
24 ; R-k Orzepowice KuŸnia; ; ; ;; ;
25 ; R-k Orzepowice Szpital Woj; ; ; ;; ;
26 ; Rybnik Dworzec Autobusowy5; ; ; ;; ;
 Razem: ;;53 ;38 ;7 ;;98 ;

   Kursówka: 01   Linia:  14   Wariant: C - DA-G Rondo-DA   Kurs:  12:48;;;;;;;
Przystanek;;Skasowañ elektronicznych;;Sprzedanychu kierowcy;;Razem;
;;Portmonetka;Terminowe;;;;
1 ; Rybnik Dworzec Autobusowy4;6 ;5 ; ;;11 ;
2 ; R-k Smolna Kotucza;3 ;1 ; ;;4 ;
3 ; R-k Smolna Reymonta;1 ;4 ;1 ;;6 ;
4 ; R-k Smolna RondoWodzis³awskie; ; ; ;; ;
5 ; R-k Œródmieœcie DworzecKolejowy; ;8 ; ;;8 ;
6 ; R-k Œródmieœcie Chrobrego;3 ;1 ; ;;4 ;
7 ; R-k Œródmieœcie PlacWolnoœci 2;24 ;15 ; ;;39 ;
8 ; R-k Pó³noc Gliwicka Szpital;4 ; ;6 ;;10 ;
9 ; R-k Pó³noc K¹pielisko Ruda;2 ;2 ; ;;4 ;
10 ; R-k Wielopole Skrzy¿owanie; ; ; ;; ;
11 ; R-k Wielopole Szko³a;1 ;1 ; ;;2 ;
12 ; R-k Wielopole Wiadukt; ; ; ;; ;
13 ; R-k Golejów Górka; ; ; ;; ;
14 ; R-k Golejów Kaplica; ; ; ;; ;
15 ; R-k Golejów Rondo; ; ; ;; ;
16 ; R-k Golejów Siedliska; ; ; ;; ;
17 ; R-k Ochojec M³ynek; ; ; ;; ;
18 ; R-k Ochojec Koœció³;3 ;1 ; ;;4 ;
19 ; R-k Ochojec Centrum;7 ;2 ; ;;9 ;
20 ; R-k Ochojec M³ynek; ; ;1 ;;1 ;
21 ; R-k Golejów Siedliska; ;1 ;1 ;;2 ;
22 ; R-k Golejów Skrzy¿owanie;3 ;2 ;1 ;;6 ;
23 ; R-k Golejów Górka; ; ; ;; ;
24 ; R-k Wielopole Wiadukt;1 ; ; ;;1 ;
25 ; R-k Wielopole Szko³a; ;1 ; ;;1 ;
26 ; R-k Wielopole Skrzy¿owanie; ; ; ;; ;
27 ; R-k Pó³noc K¹pielisko Ruda;2 ; ; ;;2 ;
28 ; R-k Pó³noc Gliwicka Szpital; ; ; ;; ;
29 ; R-k Œródmieœcie PlacWolnoœci 3;1 ; ; ;;1 ;
30 ; R-k Œródmieœcie 3 Maja; ;1 ; ;;1 ;
31 ; R-k Œródmieœcie Urszulanki; ; ; ;; ;
32 ; R-k Œródmieœcie ReymontaZUS; ; ; ;; ;
33 ; R-k Smolna Reymonta; ; ; ;; ;
34 ; R-k Smolna Kotucza; ; ; ;; ;
35 ; Rybnik Dworzec AutobusowyA; ; ; ;; ;
 Razem: ;;61 ;45 ;10 ;;116 ;

   Kursówka: 01   Linia:  6   Wariant: A - DA- Marcel   Kurs:  13:59;;;;;;;
Przystanek;;Skasowañ elektronicznych;;Sprzedanychu kierowcy;;Razem;
;;Portmonetka;Terminowe;;;;
1 ; Rybnik Dworzec Autobusowy4;2 ;2 ; ;;4 ;
